id,id_fuente,titulo,moneda,precio_valor,ubicacion_raw,comuna,dormitorios,banos,metros,descripcion,amenities,link,error
1,MLC-1894972853,Departamento En Venta De 4 Dorm. En Las Condes,UF,13900,"Ubicación e información de la zonaIng Pedro Blanquier / Av Manquehue, Rotonda Atenas, Las Condes, RM (Metropolitana)Son los puntos más cercanos al inmueble en un rango de 2km.TransporteEducaciónÁreas verdesComerciosSaludEstaciones de metroManquehue25 mins - 1.973 metrosParaderosIsabel La Católica / Manquehue Sur2 mins - 123 metrosIsabel La Católica / Manquehue Sur3 mins - 243 metrosLatadia / Manquehue Sur5 mins - 412 metrosAlonso de Camargo / Manquehue Sur6 mins - 443 metrosCarlos Alvarado / Manquehue Sur8 mins - 643 metros",Las Condes,4,4,161.0,"Excelente oportunidad para vivir en uno de los sectores más seguros de Las Condes. ¡Es un departamento moderno, elegante y lleno de detalles! Las primeras imágenes han sido ambientadas digitalmente para visualizar mejor los espacios. Departamento de alta calidad y como nuevo, ubicado en un sector residencial y consolidado de Las Condes. Excelente conectividad, cercano a Avenida Manquehue, a pocos minutos de supermercados y una gran variedad de comercios. 4 dormitorios / 4 baños / servicio completo / sala de estar / 2 estacionamientos / 1 bodega / contribuciones: $340.000 / gastos comunes: $350.000 Distribución: hall de acceso, baño de visitas, living-comedor de muy buen tamaño con salida a amplia terraza. Cocina moderna y completamente equipada, con mesón de cuarzo, encimera empotrada, horno eléctrico y amplios muebles con buena capacidad de almacenamiento, logia exterior con mueble. Tres dormitorios: el principal en suite y salida a terraza, con amplio walk in clóset, clóset de pared y baño con shower door. Segundo y tercer dormitorio con clóset y baño completo ubicado en el pasillo. Cuarto dormitorio con baño y salida al pasillo y logia, el que puede ser usado como home office o pieza de servicio. Terminaciones de alto estándar: piso de madera en todo el departamento, cocina y baños con porcelanato, cubiertas de cuarzo en cocina y baños, ventanas con termopanel y calefacción central por losa radiante, rollers diseñados a medida. Edificio (Simonetti, año 2018): excelentes espacios comunes, piscina, gimnasio, juegos de niños, lindos jardines, estacionamientos de visitas, seguridad 24 horas y accesos controlados por circuito cerrado de TV. ¿Quieres conocerlo? Contáctame. Contacto: Mercedes Tagle Dartnell","piscina, gimnasio, estacionamiento, bodega, ascensor, conserjeria, seguridad, terraza, jardin",https://www.portalinmobiliario.com/MLC-1894972853-departamento-en-venta-de-4-dorm-en-las-condes-_JM,
2,MLC-3779707978,Departamento En Venta De 2 Dorm. En Las Condes,UF,11150,"Ubicación e información de la zonaEnrique Foster, Barrio El Golf, Las Condes, RM (Metropolitana)Son los puntos más cercanos al inmueble en un rango de 2km.TransporteEducaciónÁreas verdesComerciosSaludEstaciones de metroEl Golf4 mins - 304 metrosAlcántara7 mins - 563 metrosTobalaba11 mins - 880 metrosParaderosEl Alcalde / Avenida Apoquindo3 mins - 202 metros(M) El Golf3 mins - 210 metrosEl Golf / Avenida Apoquindo6 mins - 445 metros(M) Alcántara7 mins - 545 metrosVecinal / Avenida Apoquindo7 mins - 515 metros",Las Condes,2,2,107.0,,"piscina, gimnasio, estacionamiento, bodega, ascensor, conserjeria, seguridad, terraza, jardin",https://www.portalinmobiliario.com/MLC-3779707978-departamento-en-venta-de-2-dorm-en-las-condes-_JM,
3,MLC-2983312172,"Martin De Zamora 4464, 2 Dormitorios. + 3 Baños 2 Est, Bod",UF,11280,"Ubicación e información de la zonaMartín De Zamora 4464, Las Condes, Sebastián Elcano, Las Condes, RM (Metropolitana)Son los puntos más cercanos al inmueble en un rango de 2km.TransporteEducaciónÁreas verdesComerciosSaludEstaciones de metroEscuela Militar12 mins - 911 metrosAlcántara14 mins - 1.130 metrosCristóbal Colón15 mins - 1.177 metrosFrancisco Bilbao16 mins - 1.245 metrosEl Golf20 mins - 1.567 metrosParaderosMartín de Zamora / Vespucio1 min - 68 metrosMartín de Zamora / Vespucio1 min - 108 metrosCesar Cascabel / Martín de Zamora2 mins - 179 metrosCristóbal Colón / Vespucio3 mins - 214 metrosVespucio / Cristóbal Colón3 mins - 252 metros",Las Condes,2,3,118.0,"Descubra una oportunidad única para vivir o invertir en una de las zonas más cotizadas de Las Condes. Este impecable departamento en Martín de Zamora combina elegancia, una distribución inteligente de los espacios y una conectividad inmejorable, a pasos del Metro Escuela Militar. Ideal para quienes buscan calidad de vida y confort. Características principales del departamento: • Dirección: Martín de Zamora 4464, Depto. 302, Las Condes. • Superficie: (118 m2 totales con 90 m2 útiles). • Dormitorios: 2 amplios dormitorios. • Principal en suite: con vestidor. Baño con ventilación natural y puerta de ducha. • Segundo dormitorio de buen tamaño con closet de muro. • Baños: 3 en total. • 2 baños completos. • 1 baño de visitas. • Cocina: Independiente y completamente equipada. Cuenta con encimera vitrocerámica, horno y microondas empotrados, campana y una práctica despensa. Dispone de comedor de diario y conexión para lavavajillas. • Logia: Separada y con lavadero integrado, ofreciendo un espacio funcional y cómodo. • Comedor viviente: Espacioso y luminoso, con acceso directo a una amplia terraza ideal para disfrutar al aire libre. • Calefacción:Por losa radiante para un confort térmico superior en todo el departamento. • 2 Estacionamientos: en subterráneo. • 1 Bodega Beneficios y conectividad: Vivir en Martín de Zamora te ubica en un barrio residencial consolidado y seguro. Estarás cerca de la estación de Metro Escuela Militar, lo que te permitirá moverte por Santiago con rapidez y comodidad. Además, la zona ofrece una excelente ciclovía y rápido acceso a las avenidas Américo Vespucio y Apoquindo. Atributos del edificio: Este moderno edificio de solo 10 pisos está pensado para tu comodidad y seguridad. • Seguridad: Conserjería 24/7 y accesorios controlados. • Servicios: Disfruta de una piscina para los días de verano, un completo gimnasio, salón multiusos para tus eventos, quincho para asados y lavandería. • Comodidad: El edificio cuenta con 2 ascensores y estacionamientos de visitas para tus invitados. Cercanía a Servicios: Su ubicación estratégica te deja a minutos de todo lo que necesitas: • Educación: Cercano a prestigiosos colegios como el Colegio San Ignacio El Bosque y el Colegio de la Salle. • Comercio y Ocio: A pasos de una variada oferta gastronómica en Isidora Goyenechea, cercano a supermercados, farmacias y al centro comercial Apumanque. ¡No dejes pasar esta oportunidad! Agenda tu visita y ven a conocer el que podría ser tu próximo hogar. Un departamento que lo tiene todo: ubicación, equipamiento y calidad. Venta con comisión del 2% + IVA","piscina, gimnasio, quincho, estacionamiento, bodega, ascensor, conserjeria, seguridad, terraza, jardin",https://www.portalinmobiliario.com/MLC-2983312172-martin-de-zamora-4464-2-dormitorios-3-banos-2-est-bod-_JM,
4,MLC-3763938436,"Malaga 950, 4 Dorm 3 Baños, Sin Comisión",UF,9400,"Ubicación e información de la zonaMálaga 950, Las Condes, Vaticano, Las Condes, RM (Metropolitana)Son los puntos más cercanos al inmueble en un rango de 2km.TransporteEducaciónÁreas verdesComerciosSaludEstaciones de metroCristóbal Colón11 mins - 842 metrosParaderosMalaga / Cristóbal Colón1 min - 89 metrosMalaga / Martín de Zamora2 mins - 161 metrosFlandes / Cristóbal Colón3 mins - 217 metrosAlcántara / Cristóbal Colón3 mins - 270 metrosAlcantara / Cristóbal Colón4 mins - 339 metros",Las Condes,4,3,147.0,"Vive en la exclusividad de Barrio El Golf / Málaga, en un departamento de espacios generosos y diseño tradicional, ideal para familias que buscan comodidad, seguridad y una ubicación de primer nivel en Las Condes. Distribución y Espacios Interiores: Hall de Acceso: Elegante entrada que brinda privacidad y distinción al hogar. 4 Dormitorios: Incluye amplio dormitorio principal en suite (con tina y ventilación natural), dormitorios secundarios y dormitorio de servicio en suite. Estar Familiar: Espacio independiente ideal para sala de TV, biblioteca o escritorio. 3 Baños: Distribución funcional que incluye un práctico baño de visitas. Cocina Tradicional: Independiente y espaciosa, equipada con comedor de diario, lavaplatos doble y campana. Cuenta con logia separada. Living-Comedor: Gran ambiente integrado con salida directa a terraza. Climatización y Confort: Calefacción por cielo radiante y ventanales de termopanel en dormitorio principal y dormitorio N°2. Extras de Alto Valor: Incluye 3 estacionamientos y 1 bodega en subterráneo. Equipamiento del Edificio: Torre de 21 pisos con solo 4 departamentos por nivel, garantizando un entorno tranquilo: Conserjería 24/7 y control de acceso reforzado. Piscina rodeada de áreas verdes y juegos infantiles. Gimnasio equipado y salón multiuso para eventos. Central de agua caliente y 2 ascensores de gran capacidad. Estacionamientos para visitas. Ubicación y Conectividad de Excelencia: Situado en Málaga 950, en el corazón residencial más cotizado de la comuna: Cercano a Metro: A pasos de estaciones de Metro Alcántara y Escuela Militar (L1). Cercano a Educación: Próximo a los prestigiosos colegios Villa Maria Academy y Verbo Divino. Cercano a Servicios: A minutos de centros de negocios, restaurantes de Isidora Goyenechea y bancos. Cercano a Áreas Verdes: Entorno arbolado ideal para caminatas y vida de barrio segura y familiar. Una oportunidad única por metraje y capacidad de estacionamientos en la zona. VENTA SIN COMISIÓN","piscina, gimnasio, estacionamiento, bodega, ascensor, conserjeria, seguridad, terraza, jardin",https://www.portalinmobiliario.com/MLC-3763938436-malaga-950-4-dorm-3-banos-sin-comision-_JM,
5,MLC-1895855837,Departamento En Venta De 4 Dorm. En Las Condes,UF,10900,"Ubicación e información de la zonaVaticano / Málaga, Vaticano, Las Condes, RM (Metropolitana)Son los puntos más cercanos al inmueble en un rango de 2km.TransporteEducaciónÁreas verdesComerciosSaludEstaciones de metroCristóbal Colón10 mins - 773 metrosFrancisco Bilbao11 mins - 878 metrosAlcántara19 mins - 1.483 metrosEscuela Militar24 mins - 1.848 metrosEl Golf26 mins - 1.998 metrosParaderosMalaga / Cristóbal Colón4 mins - 314 metrosMalaga / Cristóbal Colón4 mins - 338 metrosAlcantara / Cristóbal Colón4 mins - 341 metrosAlcántara / Cristóbal Colón5 mins - 365 metrosFlandes / Cristóbal Colón5 mins - 426 metros",Las Condes,4,3,148.0,"¡Más espacio, más luz y el barrio ideal para disfrutar la vida en familia, con conectividad y todo cerca! Las primeras 6 imágenes han sido ambientadas digitalmente para visualizar mejor los espacios. Su ubicación es un privilegio: inmediato a movilización, Autopista AVO, cercano a la estación de Metro Colón, supermercados y plazas. ¡Gran propiedad, gran barrio! 4 dormitorios (1 en suite) / 3 baños / 2 estacionamientos / 1 bodega / contribuciones: $400.000 / gastos comunes: $230.000 Distribución: amplio hall de acceso, baño de visitas, living y comedor muy iluminados con salida a terraza, con orientación nororiente y vista despejada. Cocina con variedad de muebles en muy buen estado, desayunador, encimera y horno empotrado. Logia independiente de buen tamaño, con iluminación y ventilación natural. 4 dormitorios: espaciosa suite principal, con walk-in closet, closet adicional y baño con luz y ventilación natural. Dos dormitorios secundarios que comparten un baño en el pasillo, todos con orientación oriente. Cuarto dormitorio de buen tamaño, que puede utilizarse como home office o sala de estar. Terminaciones: piso vinílico de última generación en todo el departamento, excepto en hall de acceso, terraza, baños y cocina, que cuentan con porcelanato y cerámica. Calefacción por losa radiante. Termopanel en dormitorios. Edificio construido en 1994 por Moller & Pérez-Cotapos, de 17 pisos y 4 departamentos por nivel. Control de acceso, recepción, sala multiuso y estacionamientos de visitas. No dudes en contactarme, te encantará este departamento. Contacto: Miguel Marzuca N.","piscina, gimnasio, estacionamiento, bodega, ascensor, conserjeria, seguridad, terraza, jardin",https://www.portalinmobiliario.com/MLC-1895855837-departamento-en-venta-de-4-dorm-en-las-condes-_JM,
6,MLC-1893807971,Departamento En Venta De 3 Dorm. En Las Condes,UF,11000,"Ubicación e información de la zonaCarlos Xii / Noruega, Metro Manquehue - Apumanque, Las Condes, RM (Metropolitana)Son los puntos más cercanos al inmueble en un rango de 2km.TransporteEducaciónÁreas verdesComerciosSaludEstaciones de metroManquehue9 mins - 741 metrosParaderosParada 2 / (M) Manquehue4 mins - 339 metrosNoruega / Avenida Apoquindo5 mins - 408 metrosParada 1 / (M) Manquehue7 mins - 512 metrosParada 3 / (M) Manquehue7 mins - 548 metrosEsteban Dell Orto / Avenida Apoquindo7 mins - 527 metros",Las Condes,3,3,132.0,"Todo cerca, todo conectado y con la luz que tu día necesita en Las Condes Cómodo e iluminado departamento en piso alto, en barrio Noruega, al lado del Centro Cultural Las Condes y Parque Araucano, en un entorno tranquilo y residencial, con excelente conectividad a Av. Apoquindo, Manquehue, Los Militares y estaciones de Metro Manquehue y Hernando de Magallanes. Cercano a supermercados, centros comerciales y colegios SEK y Árabe. 3 dormitorios / 3 baños / servicios completos / 2 estacionamientos / 1 bodega / contribuciones: $339.000 / gastos comunes: $330.000 Distribución: hall de entrada, living-comedor ampliado, sin terraza. Cocina completamente equipada con encimera, horno y logia exterior cerrada con comedor de diario, además de servicios completos. 3 dormitorios: el principal en suite, con baño con luz natural y walk-in closet. Dos dormitorios secundarios con closets que comparten un baño. Terminaciones: piso flotante, puertas y closets de madera, cocina con cubiertas de granito y calefacción por losa radiante. Edificio (2005): piscina para adultos y niños, área de juegos infantiles, gimnasio equipado, salas multiuso y jardines. Estacionamientos de visitas y conserjería 24/7. ¿Quieres conocerlo? ¡Contáctame! Contacto: Macarena Molina A.","piscina, gimnasio, estacionamiento, bodega, ascensor, conserjeria, seguridad, terraza, jardin",https://www.portalinmobiliario.com/MLC-1893807971-departamento-en-venta-de-3-dorm-en-las-condes-_JM,
7,MLC-1897972323,Departamento En Venta De 1 Dorm. En Las Condes,UF,5200,"Ubicación e información de la zonaAv Las Condes/mall Sport, Mall Sport, Las Condes, RM (Metropolitana)Son los puntos más cercanos al inmueble en un rango de 2km.TransporteEducaciónÁreas verdesComerciosSaludParaderosC. San Antonio / Avenida Las Condes2 mins - 132 metrosColegio Hebreo / Avenida Las Condes2 mins - 191 metrosAvenida Las Condes / San Antonio3 mins - 218 metrosFernandez Concha / Avenida Las Condes3 mins - 211 metrosLa Dehesa / Avenida Las Condes3 mins - 263 metros",Las Condes,1,1,52.0,"¿Vivir cerca de todo lo que necesito, en un departamento moderno y con linda vista? Claro que sí, ¡¿dónde me anoto?! Departamento en Barrio Mall Sport, iluminado, excelentes terminaciones, piso 5 con vista al oriente, se ha mantenido prácticamente sin ocupación. Cercano a supermercados, comercio, universidades y restaurantes, excelente conectividad con Av. Las Condes, Kennedy y Costanera Norte. 1 dormitorio / 1 baño / 1 estacionamiento / 1 bodega / gasto común $100.000 / contribuciones $165.000 Distribución: living comedor con salida a terraza y vista despejada al oriente, buena cocina, amplio dormitorio en suite con closets y salida a la terraza. Terminaciones: piso flotante en living comedor y dormitorio, ventanas termopanel, calefactor eléctrico de bajo consumo, porcelanato y cubiertas de granito en baño y cocina, encimera de vitrocerámica y horno multifunción en cocina. Edificio (2013): 10 pisos, seguridad 24/7, cámaras de vigilancia y lectura de patentes, estacionamientos de visitas, jardines y plaza exterior, terrazas de uso común en ultimo piso. Contáctame Miguel Marzuca N.","piscina, gimnasio, estacionamiento, bodega, ascensor, conserjeria, seguridad, terraza, jardin",https://www.portalinmobiliario.com/MLC-1897972323-departamento-en-venta-de-1-dorm-en-las-condes-_JM,
8,MLC-1896951095,"Departamento En Venta En Barrio El Golf, Las Condes",UF,7500,"Ubicación e información de la zonaRenato Sánchez 4013, Las Condes, Barrio El Golf, Las Condes, RM (Metropolitana)Son los puntos más cercanos al inmueble en un rango de 2km.TransporteEducaciónÁreas verdesComerciosSaludEstaciones de metroAlcántara6 mins - 444 metrosEscuela Militar12 mins - 926 metrosEl Golf13 mins - 992 metrosParaderos(M) Alcántara6 mins - 435 metrosPresidente Errázuriz / Vespucio7 mins - 580 metrosCerro Navidad7 mins - 550 metrosEl Golf / Avenida Apoquindo7 mins - 561 metrosCruz Del Sur / Neveria8 mins - 641 metros",Las Condes,3,2,75.0,"Se vende depto. en calle Renato Sánchez con Burgos en la comuna de Las Condes, en el residencial Barrio El Golf, cercano a Metro Alcántara, con un privilegiado entorno; colegios, como Villa María Academy y Verbo Divino, plazas, restaurantes, bancos, notarias y comercio en general. Excelente Conectividad; Avda. Apoquindo, El Golf, Américo Vespucio y Autopista AVO. El departamento fue remodelado en su totalidad en el año 2024. 75m² útiles + 5m² terraza 3 dormitorios + 2 baños 1 Estacionamiento Cocina equipada y amoblada + logia Ventanas Termopanel Ubicado en Piso 4to. (último piso) Orientación Norponiente GGCC $ 200.000.- Sin Bodega Edificio cuenta con Estacionamientos de Visitas y Conserjería 24/7.","piscina, gimnasio, estacionamiento, bodega, ascensor, conserjeria, seguridad, terraza, jardin",https://www.portalinmobiliario.com/MLC-1896951095-departamento-en-venta-en-barrio-el-golf-las-condes-_JM,
9,MLC-1505292465,"Departamento En Venta, Parque Juan Pablo Ii, Las Condes",UF,17500,"Ubicación e información de la zonaPuerto Caldera 6600 - 6900, Las Condes, Chile, Parque Arauco, Las Condes, RM (Metropolitana)Son los puntos más cercanos al inmueble en un rango de 2km.TransporteEducaciónÁreas verdesComerciosParaderosAlderete / Presidente Kennedy5 mins - 417 metrosBenito Juarez / Presidente Kennedy5 mins - 367 metrosGerónimo de Alderete / Presidente Kennedy5 mins - 358 metrosBrasilia / Presidente Kennedy7 mins - 531 metrosBenito Juarez / Presidente Kennedy8 mins - 615 metros",Las Condes,2,4,168.0,"Departamento sector Parque Juan Pablo II , Colegio Alemán, excelente conectividad y cercanía a Parque Araucano caminando. Precioso, Excelente distribución y Orientación: Hall acceso, living y comedor separados, cocina con comedor de diario, logia integrada, servicios. Lindas terrazas cerradas (Glasstech). Sector dormitorios ; 2 dormitorios en suite, 2 dormitorios secundarios. El Baño principal tiene ventana. Opcional dormitorio 4 puede ser oficina. Calefacción por losa , ventanas en termopanel, terminaciones de lujo Bodega y 2 estacionamientos. Estacionamiento de visitas. Seguridad cámaras de vigilancia. Condominio full equipado; Jardines, Piscina, Quincho, Juegos Infantiles.","piscina, gimnasio, quincho, estacionamiento, bodega, ascensor, conserjeria, seguridad, terraza, jardin",https://www.portalinmobiliario.com/MLC-1505292465-departamento-en-venta-parque-juan-pablo-ii-las-condes-_JM,
10,MLC-3745834076,Departamento Primer Piso Con Jardin Propio,UF,26500,"Ubicación e información de la zonaCondominio Mirador San Damian, San Carlos de Apoquindo, Las Condes, RM (Metropolitana)Son los puntos más cercanos al inmueble en un rango de 2km.TransporteEducaciónParaderosLos Tuliperos / San Francisco de Asís1 min - 39 metrosSan Damian / San Francisco de Asís5 mins - 370 metrosEl Convento / San Francisco de Asís7 mins - 566 metrosSan Francisco de Asís 2 / Charles Hamilton7 mins - 519 metrosSan Francisco de Asís 3 / Charles Hamilton7 mins - 560 metros",Las Condes,3,3,300.0,"Departamento en primer piso con jardín propio, en Venta, condominio Mirador San Damian, comuna de Las Condes. Linda vista despejada y excelente seguridad. 3 dormitorios (dos en suite) + sala de estar o 4to dormitorio + 3 baños + baño de visitas + pieza y baño de servicio. DISTRIBUCIÓN : - Hall de entrada con excelente luz. - Living Comedor separados con salida a terraza y jardín con linda vista despejada. - Amplia cocina con comedor de diario. - Dormitorio de servicio con baño - Logia - Baño de visitas. - Dormitorio principal en suite, con salida a segunda terraza y jardín, dos walk- in closet y baño completo con luz natural. - Sala de estar o dormitorio con salida al jardin. - Segundo dormitorio con salida al jardín trasero, con baño frente al dormitorio. - Tercer dormitorio en suite con salida al jardín trasero. Especificaciones Departamento: - Piso madera. - Calefacción por losa radiante. - Aspirado Centralizado. - Altura 2,60 mts. - 3 Estacionamientos techados. - 1 Bodegas. - 250 Mts. útiles. - 50 Mts. de terraza. - 470 Mts. de jardín. VALOR DE VENTA UF 26.500","piscina, gimnasio, estacionamiento, bodega, ascensor, conserjeria, seguridad, terraza, jardin",https://www.portalinmobiliario.com/MLC-3745834076-departamento-primer-piso-con-jardin-propio-_JM,
